name,mileage,gearType,gas,brand,thumbnailSrc,price,monthlyPrice
Audi e-tron GT,10k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/f83rj7/2022.png?imwidth=550,100,2000
Audi RS e-tron GT,10k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/f83rh7/2022.png?imwidth=550,90,1800
Audi e-tron,20k,Auto,Petrol,Audi,https://www.audi.in/content/dam/nemo/in/models/E-tron/etroncatalunyared_sv.png?imwidth=550,120,2400
Audi e-tron Sportback,15k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/geaaa/2021.png?imwidth=550,70,1400
Audi A4 Sedan,25k,Auto,Petrol,Audi,https://www.audi.in/content/dam/nemo/in/models/a4-sedan/A4navarrablue_sv.png?imwidth=550,90,1800
Audi S5 Sportback,10k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/f5as/2018.png?imwidth=550,100,2000
Audi RS 5 Sportback,15k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/f5fr/2021.png?imwidth=550,120,2400
Audi A6 Sedan,20k,Auto,Petrol,Audi,https://www.audi.in/content/dam/nemo/in/models/a6/a6-sedan/A6firmamemntblue_sv.png?imwidth=550,70,1400
Audi A8L,25k,Auto,Petrol,Audi,https://www.audi.in/content/dam/nemo/in/models/a8/A8Lvesuviusgrey_sv.png?imwidth=550,80,1600
Audi Q3,30k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/f3bbky/2023.png?imwidth=550,70,1400
Audi Q5,25k,Auto,Petrol,Audi,https://mediaservice.audi.com/media/live/50900/fly1400x601n8/fygbuy/2023.png?imwidth=550,100,2000
